ID,상품명,바코드,입수,납품가,원코드,위치정보
11628077,홈매트3시간더리필 30매,8809004774069 ,90,5203 ,8809004774069 ,1
51699021,포리마우동중,8809178163041 ,18,3550 ,8809436970381 ,1
52899010,마스크 kf94,2100001092467 ,1,350 ,8800285500507 ,1
51745005,고무장갑 특대,8806382127067 ,100,2387 ,8801252046318 ,1
28299124,죽용기중 850ml (뚜껑포함)(대성),8809189815403 ,300,280 ,0 ,1
4411804,홈베큐 손잡이석쇠,8809291340985 ,60,2530 ,8809291340985 ,1
91399006,야채봉투PP19*40,8809035028636 ,1800,31 ,8809035028636 ,1
51445001,지퍼백18*20*20(소),8809210831389 ,30,1947 ,8801252027102 ,1
51889013,손사랑 예식면장갑,8809013610907 ,1,671 ,8809013610907 ,1
51699071,포인트트레이(청)66호(E-77청죽),8809275480454 ,800,143 ,8809275480454 ,1
51145001,크린롤백25*35*200매(일반),8806382102316 ,30,3652 ,8801252025016 ,1
28299101,시장가방,2100010284679 ,1,3500 ,0 ,1
51245003,크린백25*35*100,8809215059306 ,50,2178 ,8801252022114 ,1
91399004,야채봉투PP20*50,8809178163874 ,1,43 ,8809178163874 ,1
91399088,PE 22*55,0 ,2400,44 ,0 ,1
91599004,고추c-31,8806346501315 ,8000,68 ,8806346501315 ,1
91399010,야채봉투PP25*45,8809035029091 ,1,44 ,8809035029091 ,1
51699328,이중실망 17cm,0 ,1,204000 ,0 ,1
51698022,포리마타원380호,8809178163782 ,400,197 ,8809178163782 ,1
51699039,포리마(홍)26호,8809206995729 ,1000,90 ,8809206995729 ,1
50499013,알프스가스,8809150607860 ,24,2355 ,8801551104016 ,1
91399025,야채봉투pp25*35,8809096844237 ,1,39 ,8809150609383 ,1
51445002,지퍼백25*30*20(대),8809243331047 ,30,3047 ,8801252028109 ,1
51345007,크린장갑100매,8806382134744 ,30,3730 ,8801252042426 ,1
51899029,PU장갑(알라딘),2100001083458 ,1,660 ,8809017540200 ,1
7407001,부직포행주 3매(인산),8809104181323 ,1,1199 ,8809104181323 ,1
51699104,탕용기 소(세트),8801333401777 ,4,24000 ,0 ,1
40299007,A4용지(250매),8809036570400 ,10,2420 ,8809003501529 ,1
91799108,kf94위드마스크 대형,2100001150716 ,1,220 ,8809737520018 ,1
52101003,해피존소주컵,8809004108574 ,40,540 ,8809004108574 ,1
51999017,대나무젓가락 50p,8806382120402 ,60,1353 ,8806382120402 ,1
91399026,야채봉투PE20*50,8809178163874 ,1800,36 ,8809178163874 ,1
51741002,태화고무장갑 선밴,8801179000073 ,100,2057 ,8801179000073 ,1
51699062,포리마(통닭소)220x295x65,8809150609925 ,400,109 ,8809436970459 ,1
31199019,서통박스테이프 50*50(테이팩스)-황색,8801221505037 ,50,1360 ,8801221505037 ,1
50499019,전자라이타(고급),8809054515834 ,50,286 ,8809184005007 ,1
91599068,C-48 깐마늘,8802749704377 ,7000,64 ,8809203720171 ,1
11628045,홈키파 무색소 모기향10매,8809004774038 ,100,1573 ,8809004774038 ,1
50798002,업소용랩40*500(유니랩),8809178163935 ,6,19800 ,8801222201839 ,1
92599010,식탁보,8809150607976 ,6,2200 ,0 ,1
91399098,원주시로컬푸드 잡곡 (no_6),0 ,1,254 ,0 ,1
51245001,크린백17*25*100,8809215057050 ,50,1485 ,8801252021100 ,1
91399114,원주시로컬푸드 대파 18*75,0 ,1,116 ,0 ,1
29914009,원통대나무이쑤시게 700p,8809042098677 ,180,957 ,8809042098677 ,1
7224013,철수세미 45g(1입)_NH,8806080009399 ,240,1290 ,8806080009399 ,1
91599038,웰빙감귤 F26,8803583546161 ,2000,120 ,8803583546161 ,1
91399007,야채봉투PP25*30,8809035029855 ,3000,30 ,8809035029855 ,1
15699068,팬캡p-160적,8809141776827 ,2000,61 ,0 ,1
51699070,포인트트레이(청)53호,8809275480447 ,500,154 ,8809275480447 ,1
90999063,쇼핑백 대 (흑) 80매,8809021533694 ,30,2943 ,8809021533694 ,1
7224009,다목적수세미(대)AL-345_NH,8806080009306 ,200,1800 ,8806080009306 ,1
92299003,식소다 60g,8801964700294 ,200,242 ,8801964700294 ,1
51799029,태화고무장갑 뉴특대,8801179000158 ,100,2233 ,8801179000158 ,1
7207032,반짝이 수세미(사각수박),8809104185130 ,1,1518 ,8809104185130 ,1
1599001,김장봉투2p 드럼통용,8802455700045 ,30,1800 ,8802455700045 ,1
51741001,태화고무장갑 올에이,8801179000097 ,100,1672 ,8801179000097 ,1
52199004,일반종이컵(횡성축협),8809047880017 ,20,693 ,8809047880017 ,1
7224010,다목적수세미(소)AL-173_NH,8806080009313 ,300,910 ,8806080009313 ,1
51899026,백코팅장갑(알라딘),8808367020011 ,1,605 ,8809017540019 ,1
75499090,화롯불 포켓용 핫팩,8809335670078 ,1,792 ,8809335670078 ,1
9241100,잡화과세,237879 ,1,320000 ,237879 ,1
91599018,신선야채(대)기성C50,8809275481482 ,4000,86 ,8809275481482 ,1
51699117,포리마(우드) 27호,8809255825602 ,1000,107 ,8809255825602 ,1
51245004,크린백30*45*100,8809215059313 ,40,2981 ,8801252023111 ,1
51699057,포리마(흑)27호,8809035030899 ,1000,87 ,8809150609482 ,1
91599087,포장용기 DA-712,0 ,300,313 ,0 ,1
51699069,포인트트레이(청)27호,8809275480430 ,1000,112 ,8809275480430 ,1
91599013,고구마C55,0 ,4000,131 ,0 ,1
91599025,부추c42,0 ,5000,92 ,0 ,1
51699110,포리마(우드) 8호,8809035030875 ,1000,64 ,8809035030875 ,1
51699116,포리마(우드) 26호,8809255825619 ,1000,87 ,8809255825619 ,1
7401005,순면행주(대),8806346501094 ,1,737 ,0 ,1
2212019,청결 다회용투명컵2호(280ml),8804348110023 ,80,1925 ,8804348110023 ,1
91399091,야채봉투 pp 40*50,0 ,1200,82 ,0 ,1
221206,청결 투명 소주컵1호 25P(65ml),8804348003271 ,60,1716 ,8804348003271 ,1
50645012,크린랩22*50,8803583552650 ,40,3685 ,8801252015215 ,1
7207026,망사수세미2입[인산],8809104180791 ,1,1617 ,8809104180791 ,1
91599109,포장용기 DA-801(1.2kg),0 ,400,298 ,0 ,1
31299009,스마일 파리채,8806382100039 ,20,710 ,8806382100039 ,1
60512310,오공포장용 면천테이프 48mmx10M (녹색),8804987518402 ,18,1470 ,8804987518402 ,1
92499065,기념타올,8806346500646 ,1,3300 ,8806346500646 ,1
52101010,520cc(50입) 종이그릇,8806382146839 ,20,3020 ,8806382146839 ,1
91799116,kf94위드마스크,2100001150716 ,1,220 ,8806125900032 ,1
65101008,에너자이저LR6AA(2입),8809215056961 ,20,1240 ,8888021200669 ,1
91599021,깻잎 C-33,8806363210924 ,6000,65 ,0 ,1
91599055,실링용기 70 (tip-073),0 ,600,198 ,0 ,1
51746008,키친아트 고무장갑 미니10P(대소),8802739466544 ,50,7447 ,8802739466544 ,1
7207031,울스텐수세미,8809104185086 ,1,726 ,8809104185086 ,1
51145006,크린롤백25*35*500매,8806382105119 ,12,6369 ,8801252025115 ,1
51145002,크린롤백30*40*200매(일반),8806382105072 ,20,4752 ,8801252025023 ,1
26401003,해피존사각통면봉,8809004109472 ,10,1440 ,8809004109472 ,1
65101001,에너자이저맥스AA(2입),8809233015667 ,1,2622 ,8888021200119 ,1
91399011,갈비비닐봉투(110*110),8809035029787 ,800,193 ,8809035029787 ,1
60406003,TOUCH3(1입)(T-900),8801038560014 ,1,605 ,8801038560014 ,1
91599114,태방 101-2 데라포도200g,0 ,750,119 ,0 ,1
36299015,남영 P/L 36w(주광),8809018271578 ,50,1133 ,8802983224242 ,1
51741004,태화고무장갑 꽃밴,8801179000042 ,100,2178 ,8801179000042 ,1
20544007,운동화솔[가원],8802183201500 ,1,840 ,8802183201500 ,1
52126009,롯데이라이프 종이접시 200*8P,8801235205817 ,50,902 ,8801235205817 ,1
91799080,끌라삐엘 황사방역마스크KF94,2100000983544 ,1,720 ,8809732350009 ,1
